SUB_ID,FILE_ID,RT_MS,SAME_SPEAKER,RESPONSE,LABEL
CMU_13,LS_2843_152918_0049_SWT_LS_2843_152918_0016_tChange_6539_ms_rstamp_0_ms_flag_1_lid_CMU_13,-6539,1,1,0,
CMU_13,LS_2843_152918_0051_SWT_LS_374_180298_0037_tChange_5631_ms_rstamp_6163_ms_flag_1_lid_CMU_13,532,0,1,3,
CMU_13,LS_2843_152918_0054_SWT_LS_2843_152918_0113_tChange_5903_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5903,1,1,0,
CMU_13,LS_2843_152918_0058_SWT_LS_5456_58161_0022_tChange_6571_ms_rstamp_6924_ms_flag_1_lid_CMU_13,353,0,1,3,
CMU_13,LS_2843_152918_0060_SWT_LS_7505_83618_0007_tChange_5905_ms_rstamp_6264_ms_flag_1_lid_CMU_13,359,0,1,3,
CMU_13,LS_2843_152918_0061_SWT_LS_7447_91187_0009_tChange_6039_ms_rstamp_6414_ms_flag_1_lid_CMU_13,375,0,1,3,
CMU_13,LS_2843_152918_0062_SWT_LS_7447_91187_0057_tChange_6003_ms_rstamp_6632_ms_flag_1_lid_CMU_13,629,0,1,3,
CMU_13,LS_2843_152918_0068_SWT_LS_374_180298_0010_tChange_5820_ms_rstamp_6598_ms_flag_1_lid_CMU_13,778,0,1,3,
CMU_13,LS_2843_152918_0081_SWT_LS_7447_91187_0036_tChange_6102_ms_rstamp_6307_ms_flag_0_lid_CMU_13,205,0,0,1,
CMU_13,LS_2843_152918_0083_SWT_LS_374_180299_0004_tChange_6124_ms_rstamp_6777_ms_flag_1_lid_CMU_13,653,0,1,3,
CMU_13,LS_2843_152918_0088_SWT_LS_374_180299_0037_tChange_6702_ms_rstamp_7098_ms_flag_1_lid_CMU_13,396,0,1,3,
CMU_13,LS_2843_152918_0089_SWT_LS_7447_91187_0027_tChange_6837_ms_rstamp_7213_ms_flag_1_lid_CMU_13,376,0,1,3,
CMU_13,LS_2843_152918_0095_SWT_LS_2843_152918_0023_tChange_6169_ms_rstamp_0_ms_flag_1_lid_CMU_13,-6169,1,1,0,
CMU_13,LS_2843_152918_0096_SWT_LS_7505_83618_0005_tChange_5821_ms_rstamp_6469_ms_flag_1_lid_CMU_13,648,0,1,3,
CMU_13,LS_2843_152918_0097_SWT_LS_2843_152918_0028_tChange_6076_ms_rstamp_0_ms_flag_1_lid_CMU_13,-6076,1,1,0,
CMU_13,LS_2843_152918_0099_SWT_LS_2843_152918_0103_tChange_5710_ms_rstamp_6395_ms_flag_0_lid_CMU_13,685,1,0,1,
CMU_13,LS_2843_152918_0100_SWT_LS_5456_62014_0012_tChange_5549_ms_rstamp_5883_ms_flag_1_lid_CMU_13,334,0,1,3,
CMU_13,LS_2843_152918_0103_SWT_LS_5456_62043_0022_tChange_7301_ms_rstamp_8127_ms_flag_1_lid_CMU_13,826,0,1,3,
CMU_13,LS_2843_152918_0106_SWT_LS_7505_83618_0016_tChange_5674_ms_rstamp_5995_ms_flag_1_lid_CMU_13,321,0,1,3,
CMU_13,LS_2843_152918_0107_SWT_LS_2843_152918_0026_tChange_5637_ms_rstamp_5718_ms_flag_0_lid_CMU_13,81,1,0,1,
CMU_13,LS_2843_152918_0113_SWT_LS_5456_62014_0017_tChange_5560_ms_rstamp_5924_ms_flag_1_lid_CMU_13,364,0,1,3,
CMU_13,LS_374_180298_0002_SWT_LS_5456_62043_0002_tChange_5408_ms_rstamp_5852_ms_flag_1_lid_CMU_13,444,0,1,3,
CMU_13,LS_374_180298_0005_SWT_LS_7505_83618_0005_tChange_6027_ms_rstamp_6405_ms_flag_1_lid_CMU_13,378,0,1,3,
CMU_13,LS_374_180298_0007_SWT_LS_7505_83618_0015_tChange_6408_ms_rstamp_6629_ms_flag_0_lid_CMU_13,221,0,0,1,
CMU_13,LS_374_180298_0008_SWT_LS_7447_91187_0036_tChange_6568_ms_rstamp_6853_ms_flag_1_lid_CMU_13,285,0,1,3,
CMU_13,LS_374_180298_0009_SWT_LS_7447_91187_0009_tChange_7335_ms_rstamp_7980_ms_flag_1_lid_CMU_13,645,0,1,3,
CMU_13,LS_374_180298_0010_SWT_LS_374_180298_0037_tChange_6529_ms_rstamp_0_ms_flag_1_lid_CMU_13,-6529,1,1,0,
CMU_13,LS_374_180298_0011_SWT_LS_2843_152918_0113_tChange_6006_ms_rstamp_6488_ms_flag_1_lid_CMU_13,482,0,1,3,
CMU_13,LS_374_180298_0012_SWT_LS_5456_62014_0012_tChange_9088_ms_rstamp_9530_ms_flag_1_lid_CMU_13,442,0,1,3,
CMU_13,LS_374_180298_0015_SWT_LS_374_180299_0042_tChange_5735_ms_rstamp_1250_ms_flag_0_lid_CMU_13,-4485,1,0,1,
CMU_13,LS_374_180298_0018_SWT_LS_7447_91187_0005_tChange_5732_ms_rstamp_6031_ms_flag_1_lid_CMU_13,299,0,1,3,
CMU_13,LS_374_180298_0020_SWT_LS_5456_58161_0003_tChange_6092_ms_rstamp_6358_ms_flag_1_lid_CMU_13,266,0,1,3,
CMU_13,LS_374_180298_0022_SWT_LS_7505_258958_0035_tChange_5749_ms_rstamp_6869_ms_flag_1_lid_CMU_13,1120,0,1,3,
CMU_13,LS_374_180298_0028_SWT_LS_2843_152918_0058_tChange_5627_ms_rstamp_6018_ms_flag_1_lid_CMU_13,391,0,1,3,
CMU_13,LS_374_180298_0033_SWT_LS_7505_83618_0007_tChange_7213_ms_rstamp_7636_ms_flag_1_lid_CMU_13,423,0,1,3,
CMU_13,LS_374_180298_0037_SWT_LS_374_180298_0010_tChange_5605_ms_rstamp_6151_ms_flag_0_lid_CMU_13,546,1,0,1,
CMU_13,LS_374_180298_0040_SWT_LS_2843_152918_0103_tChange_8598_ms_rstamp_9207_ms_flag_1_lid_CMU_13,609,0,1,3,
CMU_13,LS_374_180298_0042_SWT_LS_5456_58161_0022_tChange_5267_ms_rstamp_5949_ms_flag_1_lid_CMU_13,682,0,1,3,
CMU_13,LS_374_180298_0044_SWT_LS_7505_258964_0019_tChange_6168_ms_rstamp_6568_ms_flag_1_lid_CMU_13,400,0,1,3,
CMU_13,LS_374_180298_0049_SWT_LS_5456_62014_0017_tChange_5982_ms_rstamp_6482_ms_flag_1_lid_CMU_13,500,0,1,3,
CMU_13,LS_374_180298_0050_SWT_LS_5456_62014_0011_tChange_5219_ms_rstamp_5625_ms_flag_1_lid_CMU_13,406,0,1,3,
CMU_13,LS_374_180298_0054_SWT_LS_5456_62043_0017_tChange_7578_ms_rstamp_8049_ms_flag_1_lid_CMU_13,471,0,1,3,
CMU_13,LS_374_180298_0055_SWT_LS_2843_152918_0100_tChange_9911_ms_rstamp_10538_ms_flag_1_lid_CMU_13,627,0,1,3,
CMU_13,LS_374_180298_0059_SWT_LS_374_180299_0004_tChange_5637_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5637,1,1,0,
CMU_13,LS_374_180298_0060_SWT_LS_7447_91187_0030_tChange_5612_ms_rstamp_6039_ms_flag_1_lid_CMU_13,427,0,1,3,
CMU_13,LS_374_180299_0004_SWT_LS_374_180298_0059_tChange_5747_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5747,1,1,0,
CMU_13,LS_374_180299_0006_SWT_LS_2843_152918_0016_tChange_5513_ms_rstamp_6079_ms_flag_1_lid_CMU_13,566,0,1,3,
CMU_13,LS_374_180299_0009_SWT_LS_7505_83618_0010_tChange_6219_ms_rstamp_6828_ms_flag_1_lid_CMU_13,609,0,1,3,
CMU_13,LS_374_180299_0011_SWT_LS_7447_91187_0027_tChange_6487_ms_rstamp_6809_ms_flag_1_lid_CMU_13,322,0,1,3,
CMU_13,LS_374_180299_0013_SWT_LS_7505_83618_0016_tChange_5607_ms_rstamp_5932_ms_flag_1_lid_CMU_13,325,0,1,3,
CMU_13,LS_374_180299_0019_SWT_LS_7447_91187_0061_tChange_5557_ms_rstamp_5840_ms_flag_1_lid_CMU_13,283,0,1,3,
CMU_13,LS_374_180299_0021_SWT_LS_2843_152918_0023_tChange_6163_ms_rstamp_6543_ms_flag_1_lid_CMU_13,380,0,1,3,
CMU_13,LS_374_180299_0022_SWT_LS_2843_152918_0028_tChange_5577_ms_rstamp_5942_ms_flag_1_lid_CMU_13,365,0,1,3,
CMU_13,LS_374_180299_0024_SWT_LS_7505_83618_0024_tChange_5886_ms_rstamp_6623_ms_flag_1_lid_CMU_13,737,0,1,3,
CMU_13,LS_374_180299_0030_SWT_LS_7447_91186_0038_tChange_6473_ms_rstamp_7022_ms_flag_1_lid_CMU_13,549,0,1,3,
CMU_13,LS_374_180299_0031_SWT_LS_5456_62043_0022_tChange_5721_ms_rstamp_6187_ms_flag_1_lid_CMU_13,466,0,1,3,
CMU_13,LS_374_180299_0033_SWT_LS_374_180299_0037_tChange_7141_ms_rstamp_0_ms_flag_1_lid_CMU_13,-7141,1,1,0,
CMU_13,LS_374_180299_0037_SWT_LS_374_180299_0033_tChange_6991_ms_rstamp_7364_ms_flag_0_lid_CMU_13,373,1,0,1,
CMU_13,LS_374_180299_0038_SWT_LS_2843_152918_0026_tChange_6462_ms_rstamp_6908_ms_flag_1_lid_CMU_13,446,0,1,3,
CMU_13,LS_374_180299_0042_SWT_LS_374_180298_0015_tChange_5499_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5499,1,1,0,
CMU_13,LS_374_180299_0045_SWT_LS_7447_91187_0057_tChange_6089_ms_rstamp_6702_ms_flag_1_lid_CMU_13,613,0,1,3,
CMU_13,LS_5456_24741_0006_SWT_LS_7447_91187_0061_tChange_5824_ms_rstamp_6121_ms_flag_1_lid_CMU_13,297,0,1,3,
CMU_13,LS_5456_24741_0008_SWT_LS_7505_83618_0015_tChange_5678_ms_rstamp_6004_ms_flag_1_lid_CMU_13,326,0,1,3,
CMU_13,LS_5456_24741_0009_SWT_LS_7447_91187_0036_tChange_6219_ms_rstamp_6512_ms_flag_1_lid_CMU_13,293,0,1,3,
CMU_13,LS_5456_24741_0012_SWT_LS_374_180299_0004_tChange_6156_ms_rstamp_6640_ms_flag_1_lid_CMU_13,484,0,1,3,
CMU_13,LS_5456_24741_0013_SWT_LS_374_180298_0059_tChange_6023_ms_rstamp_6563_ms_flag_1_lid_CMU_13,540,0,1,3,
CMU_13,LS_5456_24741_0019_SWT_LS_7447_91186_0038_tChange_6417_ms_rstamp_6760_ms_flag_1_lid_CMU_13,343,0,1,3,
CMU_13,LS_5456_24741_0020_SWT_LS_5456_58161_0003_tChange_5450_ms_rstamp_5715_ms_flag_0_lid_CMU_13,265,1,0,1,
CMU_13,LS_5456_58161_0000_SWT_LS_374_180299_0033_tChange_6312_ms_rstamp_6956_ms_flag_1_lid_CMU_13,644,0,1,3,
CMU_13,LS_5456_58161_0003_SWT_LS_2843_152918_0028_tChange_7787_ms_rstamp_8442_ms_flag_1_lid_CMU_13,655,0,1,3,
CMU_13,LS_5456_58161_0004_SWT_LS_5456_62043_0022_tChange_6495_ms_rstamp_6369_ms_flag_0_lid_CMU_13,-126,1,0,1,
CMU_13,LS_5456_58161_0009_SWT_LS_374_180299_0037_tChange_5767_ms_rstamp_6140_ms_flag_1_lid_CMU_13,373,0,1,3,
CMU_13,LS_5456_58161_0017_SWT_LS_7505_258958_0035_tChange_5889_ms_rstamp_6702_ms_flag_1_lid_CMU_13,813,0,1,3,
CMU_13,LS_5456_58161_0021_SWT_LS_7505_83618_0024_tChange_5946_ms_rstamp_6348_ms_flag_1_lid_CMU_13,402,0,1,3,
CMU_13,LS_5456_58161_0022_SWT_LS_2843_152918_0058_tChange_5574_ms_rstamp_5796_ms_flag_0_lid_CMU_13,222,0,0,1,
CMU_13,LS_5456_58161_0027_SWT_LS_374_180298_0015_tChange_5490_ms_rstamp_5861_ms_flag_1_lid_CMU_13,371,0,1,3,
CMU_13,LS_5456_62014_0000_SWT_LS_7447_91187_0027_tChange_5367_ms_rstamp_6010_ms_flag_1_lid_CMU_13,643,0,1,3,
CMU_13,LS_5456_62014_0001_SWT_LS_5456_62043_0002_tChange_5900_ms_rstamp_6385_ms_flag_0_lid_CMU_13,485,1,0,1,
CMU_13,LS_5456_62014_0002_SWT_LS_374_180299_0042_tChange_5944_ms_rstamp_6283_ms_flag_1_lid_CMU_13,339,0,1,3,
CMU_13,LS_5456_62014_0011_SWT_LS_2843_152918_0026_tChange_7036_ms_rstamp_7482_ms_flag_1_lid_CMU_13,446,0,1,3,
CMU_13,LS_5456_62014_0012_SWT_LS_2843_152918_0100_tChange_5447_ms_rstamp_5862_ms_flag_1_lid_CMU_13,415,0,1,3,
CMU_13,LS_5456_62014_0017_SWT_LS_2843_152918_0113_tChange_6419_ms_rstamp_6787_ms_flag_1_lid_CMU_13,368,0,1,3,
CMU_13,LS_5456_62043_0000_SWT_LS_7505_83618_0005_tChange_5873_ms_rstamp_6468_ms_flag_1_lid_CMU_13,595,0,1,3,
CMU_13,LS_5456_62043_0002_SWT_LS_2843_152918_0023_tChange_5274_ms_rstamp_5619_ms_flag_1_lid_CMU_13,345,0,1,3,
CMU_13,LS_5456_62043_0005_SWT_LS_5456_62014_0017_tChange_5878_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5878,1,1,0,
CMU_13,LS_5456_62043_0009_SWT_LS_7505_258964_0019_tChange_5557_ms_rstamp_6341_ms_flag_1_lid_CMU_13,784,0,1,3,
CMU_13,LS_5456_62043_0014_SWT_LS_7447_91187_0030_tChange_5678_ms_rstamp_6059_ms_flag_1_lid_CMU_13,381,0,1,3,
CMU_13,LS_5456_62043_0017_SWT_LS_2843_152918_0016_tChange_5404_ms_rstamp_5543_ms_flag_0_lid_CMU_13,139,0,0,1,
CMU_13,LS_5456_62043_0021_SWT_LS_7505_83618_0007_tChange_5578_ms_rstamp_6414_ms_flag_1_lid_CMU_13,836,0,1,3,
CMU_13,LS_5456_62043_0022_SWT_LS_2843_152918_0103_tChange_7259_ms_rstamp_7633_ms_flag_1_lid_CMU_13,374,0,1,3,
CMU_13,LS_5456_62043_0023_SWT_LS_7447_91187_0009_tChange_5226_ms_rstamp_5606_ms_flag_1_lid_CMU_13,380,0,1,3,
CMU_13,LS_5456_62043_0025_SWT_LS_374_180298_0010_tChange_6165_ms_rstamp_6756_ms_flag_1_lid_CMU_13,591,0,1,3,
CMU_13,LS_5456_62043_0026_SWT_LS_5456_62014_0011_tChange_5548_ms_rstamp_5835_ms_flag_0_lid_CMU_13,287,1,0,1,
CMU_13,LS_5456_62043_0027_SWT_LS_5456_58161_0022_tChange_5446_ms_rstamp_5918_ms_flag_0_lid_CMU_13,472,1,0,1,
CMU_13,LS_5456_62043_0028_SWT_LS_7447_91187_0005_tChange_5587_ms_rstamp_6235_ms_flag_1_lid_CMU_13,648,0,1,3,
CMU_13,LS_5456_62043_0029_SWT_LS_374_180298_0037_tChange_5271_ms_rstamp_5997_ms_flag_1_lid_CMU_13,726,0,1,3,
CMU_13,LS_5456_62043_0030_SWT_LS_7447_91187_0057_tChange_6657_ms_rstamp_7274_ms_flag_1_lid_CMU_13,617,0,1,3,
CMU_13,LS_5456_62043_0032_SWT_LS_7505_83618_0010_tChange_6385_ms_rstamp_6643_ms_flag_1_lid_CMU_13,258,0,1,3,
CMU_13,LS_5456_62043_0035_SWT_LS_7505_83618_0016_tChange_6261_ms_rstamp_6957_ms_flag_1_lid_CMU_13,696,0,1,3,
CMU_13,LS_5456_62043_0036_SWT_LS_5456_62043_0017_tChange_5530_ms_rstamp_5843_ms_flag_0_lid_CMU_13,313,1,0,1,
CMU_13,LS_5456_62043_0037_SWT_LS_5456_62014_0012_tChange_5431_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5431,1,1,0,
CMU_13,LS_7447_91186_0001_SWT_LS_7447_91187_0005_tChange_5913_ms_rstamp_6470_ms_flag_0_lid_CMU_13,557,1,0,1,
CMU_13,LS_7447_91186_0007_SWT_LS_374_180298_0010_tChange_5588_ms_rstamp_6141_ms_flag_1_lid_CMU_13,553,0,1,3,
CMU_13,LS_7447_91186_0009_SWT_LS_374_180299_0033_tChange_5901_ms_rstamp_6329_ms_flag_1_lid_CMU_13,428,0,1,3,
CMU_13,LS_7447_91186_0011_SWT_LS_374_180298_0059_tChange_5613_ms_rstamp_6037_ms_flag_1_lid_CMU_13,424,0,1,3,
CMU_13,LS_7447_91186_0012_SWT_LS_2843_152918_0026_tChange_5818_ms_rstamp_6378_ms_flag_1_lid_CMU_13,560,0,1,3,
CMU_13,LS_7447_91186_0016_SWT_LS_7447_91187_0027_tChange_6790_ms_rstamp_9604_ms_flag_1_lid_CMU_13,2814,1,1,0,
CMU_13,LS_7447_91186_0021_SWT_LS_5456_62043_0002_tChange_6033_ms_rstamp_6394_ms_flag_1_lid_CMU_13,361,0,1,3,
CMU_13,LS_7447_91186_0025_SWT_LS_2843_152918_0058_tChange_5684_ms_rstamp_6085_ms_flag_1_lid_CMU_13,401,0,1,3,
CMU_13,LS_7447_91186_0038_SWT_LS_7505_83618_0024_tChange_5740_ms_rstamp_6202_ms_flag_1_lid_CMU_13,462,0,1,3,
CMU_13,LS_7447_91186_0039_SWT_LS_2843_152918_0028_tChange_5905_ms_rstamp_6403_ms_flag_1_lid_CMU_13,498,0,1,3,
CMU_13,LS_7447_91186_0040_SWT_LS_5456_62043_0017_tChange_5945_ms_rstamp_6211_ms_flag_1_lid_CMU_13,266,0,1,3,
CMU_13,LS_7447_91186_0041_SWT_LS_2843_152918_0100_tChange_5531_ms_rstamp_6206_ms_flag_1_lid_CMU_13,675,0,1,3,
CMU_13,LS_7447_91186_0043_SWT_LS_7447_91186_0038_tChange_5355_ms_rstamp_5534_ms_flag_0_lid_CMU_13,179,1,0,1,
CMU_13,LS_7447_91187_0003_SWT_LS_374_180298_0037_tChange_5259_ms_rstamp_5754_ms_flag_1_lid_CMU_13,495,0,1,3,
CMU_13,LS_7447_91187_0005_SWT_LS_7505_258958_0035_tChange_8872_ms_rstamp_9550_ms_flag_1_lid_CMU_13,678,0,1,3,
CMU_13,LS_7447_91187_0007_SWT_LS_5456_62014_0012_tChange_6112_ms_rstamp_6588_ms_flag_1_lid_CMU_13,476,0,1,3,
CMU_13,LS_7447_91187_0009_SWT_LS_7505_83618_0015_tChange_7703_ms_rstamp_8127_ms_flag_1_lid_CMU_13,424,0,1,3,
CMU_13,LS_7447_91187_0010_SWT_LS_374_180299_0042_tChange_6411_ms_rstamp_6666_ms_flag_1_lid_CMU_13,255,0,1,3,
CMU_13,LS_7447_91187_0012_SWT_LS_2843_152918_0016_tChange_5458_ms_rstamp_6094_ms_flag_1_lid_CMU_13,636,0,1,3,
CMU_13,LS_7447_91187_0014_SWT_LS_2843_152918_0023_tChange_5310_ms_rstamp_5686_ms_flag_1_lid_CMU_13,376,0,1,3,
CMU_13,LS_7447_91187_0021_SWT_LS_374_180299_0004_tChange_5812_ms_rstamp_6228_ms_flag_1_lid_CMU_13,416,0,1,3,
CMU_13,LS_7447_91187_0026_SWT_LS_7447_91187_0057_tChange_5832_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5832,1,1,0,
CMU_13,LS_7447_91187_0027_SWT_LS_7505_258964_0019_tChange_5835_ms_rstamp_6554_ms_flag_1_lid_CMU_13,719,0,1,3,
CMU_13,LS_7447_91187_0028_SWT_LS_2843_152918_0113_tChange_5476_ms_rstamp_6015_ms_flag_1_lid_CMU_13,539,0,1,3,
CMU_13,LS_7447_91187_0029_SWT_LS_5456_62014_0017_tChange_5509_ms_rstamp_6255_ms_flag_1_lid_CMU_13,746,0,1,3,
CMU_13,LS_7447_91187_0030_SWT_LS_7505_83618_0005_tChange_5579_ms_rstamp_5913_ms_flag_1_lid_CMU_13,334,0,1,3,
CMU_13,LS_7447_91187_0032_SWT_LS_7447_91187_0030_tChange_5233_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5233,1,1,0,
CMU_13,LS_7447_91187_0034_SWT_LS_5456_62043_0022_tChange_5882_ms_rstamp_6516_ms_flag_1_lid_CMU_13,634,0,1,3,
CMU_13,LS_7447_91187_0036_SWT_LS_7505_83618_0016_tChange_5449_ms_rstamp_5878_ms_flag_1_lid_CMU_13,429,0,1,3,
CMU_13,LS_7447_91187_0037_SWT_LS_7447_91187_0009_tChange_5754_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5754,1,1,0,
CMU_13,LS_7447_91187_0046_SWT_LS_374_180298_0015_tChange_6468_ms_rstamp_6900_ms_flag_1_lid_CMU_13,432,0,1,3,
CMU_13,LS_7447_91187_0047_SWT_LS_5456_58161_0003_tChange_6357_ms_rstamp_6949_ms_flag_1_lid_CMU_13,592,0,1,3,
CMU_13,LS_7447_91187_0048_SWT_LS_7447_91187_0036_tChange_6387_ms_rstamp_6487_ms_flag_0_lid_CMU_13,100,1,0,1,
CMU_13,LS_7447_91187_0049_SWT_LS_5456_62014_0011_tChange_5341_ms_rstamp_5774_ms_flag_1_lid_CMU_13,433,0,1,3,
CMU_13,LS_7447_91187_0050_SWT_LS_374_180299_0037_tChange_5839_ms_rstamp_5925_ms_flag_0_lid_CMU_13,86,0,0,1,
CMU_13,LS_7447_91187_0054_SWT_LS_5456_58161_0022_tChange_5598_ms_rstamp_6020_ms_flag_1_lid_CMU_13,422,0,1,3,
CMU_13,LS_7447_91187_0055_SWT_LS_7447_91187_0061_tChange_5769_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5769,1,1,0,
CMU_13,LS_7447_91187_0057_SWT_LS_7505_83618_0010_tChange_5646_ms_rstamp_6021_ms_flag_1_lid_CMU_13,375,0,1,3,
CMU_13,LS_7447_91187_0061_SWT_LS_7505_83618_0007_tChange_5910_ms_rstamp_6323_ms_flag_1_lid_CMU_13,413,0,1,3,
CMU_13,LS_7447_91187_0066_SWT_LS_2843_152918_0103_tChange_5450_ms_rstamp_5966_ms_flag_1_lid_CMU_13,516,0,1,3,
CMU_13,LS_7505_258958_0009_SWT_LS_7505_83618_0010_tChange_5903_ms_rstamp_0_ms_flag_1_lid_CMU_13,-5903,1,1,0,
CMU_13,LS_7505_258958_0010_SWT_LS_374_180298_0059_tChange_6194_ms_rstamp_3511_ms_flag_0_lid_CMU_13,-2683,0,0,1,
CMU_13,LS_7505_258958_0017_SWT_LS_5456_62014_0012_tChange_5832_ms_rstamp_6230_ms_flag_1_lid_CMU_13,398,0,1,3,
CMU_13,LS_7505_258958_0018_SWT_LS_2843_152918_0103_tChange_5753_ms_rstamp_4581_ms_flag_0_lid_CMU_13,-1172,0,0,1,
CMU_13,LS_7505_258958_0019_SWT_LS_2843_152918_0100_tChange_6638_ms_rstamp_7183_ms_flag_1_lid_CMU_13,545,0,1,3,
CMU_13,LS_7505_258958_0020_SWT_LS_374_180299_0037_tChange_6556_ms_rstamp_6983_ms_flag_1_lid_CMU_13,427,0,1,3,
CMU_13,LS_7505_258958_0025_SWT_LS_7505_83618_0024_tChange_6662_ms_rstamp_0_ms_flag_1_lid_CMU_13,-6662,1,1,0,
CMU_13,LS_7505_258958_0035_SWT_LS_7447_91187_0005_tChange_5406_ms_rstamp_5813_ms_flag_1_lid_CMU_13,407,0,1,3,
CMU_13,LS_7505_258964_0000_SWT_LS_7505_83618_0007_tChange_5676_ms_rstamp_7286_ms_flag_0_lid_CMU_13,1610,1,0,1,
CMU_13,LS_7505_258964_0003_SWT_LS_374_180298_0010_tChange_5712_ms_rstamp_6077_ms_flag_1_lid_CMU_13,365,0,1,3,
CMU_13,LS_7505_258964_0004_SWT_LS_2843_152918_0023_tChange_5859_ms_rstamp_6429_ms_flag_1_lid_CMU_13,570,0,1,3,
CMU_13,LS_7505_258964_0009_SWT_LS_5456_62043_0022_tChange_6460_ms_rstamp_6833_ms_flag_1_lid_CMU_13,373,0,1,3,
CMU_13,LS_7505_258964_0011_SWT_LS_7505_258964_0019_tChange_7463_ms_rstamp_0_ms_flag_1_lid_CMU_13,-7463,1,1,0,
CMU_13,LS_7505_258964_0015_SWT_LS_2843_152918_0058_tChange_6125_ms_rstamp_6616_ms_flag_1_lid_CMU_13,491,0,1,3,
CMU_13,LS_7505_258964_0018_SWT_LS_374_180298_0037_tChange_5420_ms_rstamp_5823_ms_flag_1_lid_CMU_13,403,0,1,3,
CMU_13,LS_7505_258964_0019_SWT_LS_7447_91187_0027_tChange_5412_ms_rstamp_5650_ms_flag_1_lid_CMU_13,238,0,1,3,
CMU_13,LS_7505_258964_0022_SWT_LS_5456_58161_0003_tChange_6851_ms_rstamp_7414_ms_flag_1_lid_CMU_13,563,0,1,3,
CMU_13,LS_7505_258964_0023_SWT_LS_5456_62014_0017_tChange_6339_ms_rstamp_6397_ms_flag_0_lid_CMU_13,58,0,0,1,
